Tick 0
P:0 H:0 C:0 | P:1 H:1 C:0 | P:4 H:0 C:0 | P:0 H:0 C:0 | P:1 H:1 C:0 | P:1 H:0 C:0 | P:0 H:0 C:0 | P:1 H:0 C:0 | P:0 H:0 C:0 | P:0 H:1 C:0 | 
P:0 H:0 C:0 | P:2 H:0 C:0 | P:1 H:0 C:0 | P:0 H:0 C:0 | P:3 H:0 C:0 | P:6 H:0 C:0 | P:2 H:0 C:0 | P:0 H:1 C:1 | P:2 H:0 C:0 | P:0 H:0 C:1 | 
P:0 H:1 C:0 | P:3 H:0 C:1 | P:3 H:0 C:0 | P:3 H:0 C:1 | P:0 H:2 C:0 | P:0 H:0 C:1 | P:2 H:1 C:0 | P:0 H:0 C:0 | P:3 H:0 C:0 | P:2 H:1 C:0 | 
P:0 H:1 C:1 | P:1 H:0 C:1 | P:3 H:1 C:0 | P:1 H:0 C:0 | P:1 H:0 C:0 | P:1 H:0 C:0 | P:0 H:1 C:1 | P:2 H:0 C:0 | P:1 H:1 C:0 | P:1 H:0 C:1 | 
P:2 H:0 C:0 | P:1 H:0 C:0 | P:1 H:0 C:0 | P:2 H:0 C:0 | P:2 H:3 C:0 | P:0 H:0 C:0 | P:3 H:0 C:0 | P:1 H:0 C:0 | P:2 H:0 C:0 | P:4 H:0 C:0 | 
P:0 H:0 C:0 | P:1 H:1 C:0 | P:4 H:0 C:0 | P:5 H:2 C:0 | P:1 H:0 C:0 | P:1 H:2 C:0 | P:2 H:1 C:0 | P:0 H:1 C:1 | P:1 H:0 C:0 | P:4 H:1 C:0 | 
P:3 H:1 C:0 | P:1 H:0 C:0 | P:1 H:0 C:1 | P:0 H:0 C:0 | P:2 H:0 C:0 | P:2 H:0 C:0 | P:0 H:0 C:0 | P:3 H:0 C:0 | P:1 H:0 C:1 | P:0 H:0 C:0 | 
P:3 H:0 C:1 | P:2 H:0 C:0 | P:3 H:0 C:0 | P:3 H:0 C:0 | P:1 H:0 C:1 | P:4 H:0 C:0 | P:5 H:0 C:0 | P:2 H:0 C:0 | P:0 H:0 C:0 | P:2 H:0 C:0 | 
P:1 H:0 C:0 | P:1 H:0 C:0 | P:3 H:1 C:0 | P:1 H:0 C:0 | P:3 H:0 C:0 | P:0 H:1 C:0 | P:1 H:2 C:0 | P:1 H:1 C:0 | P:1 H:0 C:0 | P:1 H:0 C:0 | 
P:1 H:0 C:0 | P:2 H:0 C:0 | P:0 H:1 C:0 | P:2 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:1 H:1 C:0 | P:4 H:1 C:1 | P:2 H:0 C:0 | 

